length,lightness,width,type
13,0.8,20.7,salmon
14,1,18.7,salmon
8,1.1,19.9,salmon
3,1.5,14.6,salmon
14,1.3,15.6,salmon
22,1.5,16.5,salmon
5,1.3,17.2,salmon
3,1.4,18.4,salmon
14,1.4,21.2,salmon
3,1.3,21.5,salmon
5,1.6,21.3,salmon
22,1.6,20.1,salmon
2,1.6,19.4,salmon
4,2.05,16,salmon
21,2,16.6,salmon
21,2.04,17.1,salmon
2,2,18.2,salmon
15,1.96,20,salmon
15,2,20.5,salmon
23,2.1,19.1,salmon
15,2.2,18.1,salmon
22,2.5,15.2,salmon
16,2.55,17.2,salmon
8,2.55,19.3,salmon
21,2.8,20.1,salmon
16,2.82,16.2,salmon
17,2.85,18.1,salmon
9,3,18.8,salmon
16,2.9,19.5,salmon
17,2.8,21,salmon
6,2.94,16.5,salmon
7,3,16.6,salmon
18,3.1,17.5,salmon
6,3.2,20.4,salmon
18,3.3,16.8,salmon
7,3.35,17,salmon
6,3.4,15,salmon
9,3.45,15.2,salmon
18,3.5,16.7,salmon
5,3.55,16.9,salmon
19,3.6,17,salmon
9,3.65,17.8,salmon
5,3.7,18.6,salmon
7,3.75,18.7,salmon
11,3.8,19.5,salmon
5,3.7,19,salmon
11,3.75,17.2,salmon
13,3.9,17.3,salmon
12,3.9,18,salmon
8,3.95,18.4,salmon
12,4,16.2,salmon
10,4.1,18.6,salmon
8,4.2,17.2,salmon
8,4.3,17,salmon
11,4.35,20.4,salmon
23,4.4,18,salmon
12,4.5,19,salmon
7,4.6,16.5,salmon
20,4.8,14.5,salmon
9,4.82,15,salmon
24,4.86,16.4,salmon
20,5,14.6,salmon
9,5.1,16.5,salmon
10,5.2,19.5,salmon
24,5.2,17.1,salmon
9,5.6,15.5,salmon
20,6,16.2,salmon
25,6.2,18.8,salmon
10,6.4,16.4,salmon
21,6.5,16,salmon
24,4,17.6,seabass
18,5,16.8,seabass
21,4.8,18.8,seabass
21,4.9,20,seabass
25,5.2,18.8,seabass
19,5.2,20,seabass
18,5.6,21.2,seabass
22,5.9,17.5,seabass
24,5.9,18.8,seabass
18,5.9,20.7,seabass
19,6,19.4,seabass
18,6.1,18.2,seabass
25,6.2,20.4,seabass
20,6.4,16,seabass
12,6.4,17.6,seabass
12,6.5,18.4,seabass
10,6.8,19.4,seabass
17,7,18.5,seabass
20,7.1,19,seabass
9,7.2,20,seabass
17,7.2,21.4,seabass
4,7.3,14.8,seabass
16,7.3,17.6,seabass
5,7.4,18.2,seabass
25,7.5,16.2,seabass
16,7.6,18,seabass
15,7.6,19.3,seabass
19,7.8,21,seabass
5,7.9,17.5,seabass
17,8,16.5,seabass
15,8,19,seabass
20,8.1,18.1,seabass
15,8.1,19.4,seabass
17,8.2,19.6,seabass
20,8.4,18.3,seabass
8,8.8,14.9,seabass
17,8.8,16,seabass
18,9,18.6,seabass
19,10,17,seabass
7,10,20,seabass
